iter	Passed	Remaining
0	49	49640
1	50	25191
2	51	17053
3	52	12970
4	52	10520
5	53	8904
6	54	7743
7	55	6871
8	56	6211
9	57	5678
10	58	5230
11	59	4890
12	60	4566
13	60	4283
14	61	4038
15	62	3824
16	62	3637
17	63	3469
18	64	3321
19	65	3188
20	65	3065
21	66	2955
22	67	2854
23	67	2759
24	68	2673
25	69	2594
26	69	2521
27	70	2457
28	71	2395
29	72	2336
30	72	2280
31	73	2227
32	74	2180
33	75	2135
34	75	2091
35	76	2049
36	77	2007
37	77	1967
38	78	1928
39	78	1892
40	79	1858
41	80	1828
42	80	1797
43	81	1766
44	81	1738
45	82	1711
46	83	1684
47	83	1657
48	84	1631
49	84	1606
50	85	1582
51	85	1560
52	86	1538
53	86	1517
54	87	1498
55	87	1479
56	88	1461
57	88	1443
58	89	1427
59	89	1409
60	90	1390
61	90	1372
62	91	1355
63	91	1338
64	91	1322
65	92	1306
66	92	1291
67	93	1275
68	93	1260
69	93	1245
70	94	1232
71	94	1220
72	95	1208
73	95	1196
74	96	1184
75	96	1171
76	96	1159
77	96	1146
78	97	1134
79	97	1122
80	97	1110
81	98	1099
82	98	1088
83	98	1078
84	99	1067
85	99	1056
86	99	1045
87	99	1035
88	100	1026
89	100	1017
90	100	1008
91	101	998
92	101	989
93	101	981
94	102	973
95	102	965
96	102	957
97	103	948
98	103	940
99	103	932
100	103	923
101	104	915
102	104	908
103	104	900
104	104	893
105	105	886
106	105	878
107	105	871
108	105	864
109	106	857
110	106	851
111	106	844
112	106	837
113	107	831
114	107	825
115	107	819
116	107	813
117	108	807
118	108	802
119	108	796
120	108	790
121	109	785
122	109	780
123	109	775
124	110	770
125	110	764
126	110	759
127	110	754
128	110	748
129	111	743
130	111	738
131	111	733
132	111	728
133	111	723
134	112	718
135	112	714
136	112	708
137	112	704
138	112	699
139	113	695
140	113	691
141	113	686
142	113	682
143	114	678
144	114	674
145	114	670
146	114	665
147	114	661
148	115	657
149	115	653
150	115	650
151	115	646
152	116	642
153	116	638
154	116	635
155	116	631
156	116	628
157	117	624
158	117	621
159	117	617
160	117	614
161	118	610
162	118	607
163	118	604
164	118	600
165	118	597
166	119	594
167	119	591
168	119	588
169	119	584
170	120	581
171	120	579
172	120	576
173	120	573
174	121	571
175	121	568
176	121	565
177	121	562
178	121	559
179	122	556
180	122	554
181	122	551
182	122	548
183	123	545
184	123	542
185	123	540
186	123	537
187	123	535
188	124	533
189	124	530
190	124	528
191	125	527
192	125	524
193	125	522
194	125	520
195	126	517
196	126	515
197	126	513
198	126	510
199	127	508
200	127	506
201	127	503
202	127	501
203	127	499
204	128	497
205	128	495
206	128	492
207	128	490
208	129	488
209	129	486
210	129	484
211	129	481
212	129	479
213	130	477
214	130	475
215	130	473
216	130	471
217	130	469
218	131	467
219	131	465
220	131	463
221	131	461
222	132	460
223	132	458
224	132	456
225	132	454
226	132	452
227	133	450
228	133	448
229	133	447
230	133	445
231	134	443
232	134	441
233	134	440
234	134	438
235	134	436
236	135	434
237	135	433
238	135	431
239	135	429
240	136	428
241	136	426
242	136	425
243	136	423
244	136	421
245	137	420
246	137	418
247	137	417
248	137	415
249	138	414
250	138	412
251	138	411
252	138	409
253	138	408
254	139	406
255	139	405
256	139	404
257	140	403
258	140	401
259	140	400
260	140	398
261	141	397
262	141	395
263	141	394
264	141	393
265	141	391
266	142	390
267	142	388
268	142	387
269	142	386
270	143	385
271	143	383
272	143	382
273	143	381
274	144	380
275	144	378
276	144	377
277	144	376
278	145	374
279	145	373
280	145	372
281	145	370
282	145	369
283	146	368
284	146	367
285	146	365
286	146	364
287	147	363
288	147	362
289	147	361
290	147	359
291	147	358
292	148	357
293	148	356
294	148	355
295	148	353
296	149	352
297	149	351
298	149	350
299	149	349
300	150	348
301	150	347
302	150	346
303	150	345
304	150	344
305	151	342
306	151	341
307	151	340
308	151	339
309	152	338
310	152	337
311	152	336
312	152	335
313	153	334
314	153	333
315	153	332
316	153	331
317	153	330
318	154	329
319	154	328
320	154	327
321	154	326
322	155	325
323	155	324
324	155	323
325	156	322
326	156	321
327	156	320
328	156	319
329	157	318
330	157	317
331	157	317
332	157	316
333	158	315
334	158	314
335	158	313
336	158	312
337	158	311
338	159	310
339	159	309
340	159	308
341	160	308
342	160	307
343	160	306
344	160	305
345	160	304
346	161	303
347	161	302
348	161	301
349	161	300
350	162	299
351	162	299
352	162	298
353	162	297
354	163	296
355	163	295
356	163	294
357	163	293
358	164	292
359	164	292
360	164	291
361	164	290
362	164	289
363	165	288
364	165	287
365	165	286
366	165	286
367	166	285
368	166	284
369	166	283
370	166	282
371	166	281
372	167	281
373	167	280
374	167	279
375	168	279
376	168	278
377	168	277
378	168	276
379	169	275
380	169	275
381	169	274
382	169	273
383	170	272
384	170	271
385	170	271
386	170	270
387	170	269
388	171	268
389	171	268
390	171	267
391	171	266
392	172	265
393	172	265
394	172	264
395	173	263
396	173	263
397	173	262
398	173	261
399	173	260
400	174	260
401	174	259
402	174	258
403	174	257
404	175	257
405	175	256
406	175	256
407	175	255
408	176	254
409	176	253
410	176	253
411	176	252
412	177	251
413	177	250
414	177	250
415	177	249
416	177	248
417	178	248
418	178	247
419	178	246
420	178	245
421	179	245
422	179	244
423	179	243
424	179	243
425	180	242
426	180	241
427	180	241
428	180	240
429	180	239
430	181	239
431	181	238
432	181	237
433	181	237
434	182	236
435	182	235
436	182	235
